"totalListings" "totalTickets" "minQuantity" "maxQuantity" "mapDisplayType" "eventid" "timestamp"
766 1861 1 8 "section" 9220595 "04-04-2015_00.00.01"
758 1836 1 10 "section" 9220596 "04-04-2015_00.00.06"
727 1772 1 10 "section" 9220597 "04-04-2015_00.00.16"
766 1861 1 8 "section" 9220595 "04-04-2015_06.00.01"
758 1834 1 10 "section" 9220596 "04-04-2015_06.00.11"
727 1772 1 10 "section" 9220597 "04-04-2015_06.00.20"
766 1864 1 8 "section" 9220595 "04-04-2015_18.00.01"
760 1842 1 10 "section" 9220596 "04-04-2015_18.01.25"
731 1776 1 10 "section" 9220597 "04-04-2015_18.02.18"
766 1864 1 8 "section" 9220595 "04-05-2015_00.00.07"
759 1838 1 10 "section" 9220596 "04-05-2015_00.05.26"
731 1776 1 10 "section" 9220597 "04-05-2015_00.08.02"
767 1865 1 8 "section" 9220595 "04-05-2015_06.00.03"
760 1839 1 10 "section" 9220596 "04-05-2015_06.00.15"
731 1775 1 10 "section" 9220597 "04-05-2015_06.00.25"
767 1864 1 8 "section" 9220595 "04-05-2015_12.00.01"
761 1842 1 10 "section" 9220596 "04-05-2015_12.00.09"
731 1773 1 10 "section" 9220597 "04-05-2015_12.00.13"
763 1855 1 8 "section" 9220595 "04-05-2015_18.00.01"
759 1837 1 10 "section" 9220596 "04-05-2015_18.00.06"
730 1767 1 10 "section" 9220597 "04-05-2015_18.00.11"
764 1856 1 8 "section" 9220595 "04-06-2015_00.00.01"
758 1835 1 10 "section" 9220596 "04-06-2015_00.00.53"
731 1768 1 10 "section" 9220597 "04-06-2015_00.01.29"
763 1855 1 8 "section" 9220595 "04-06-2015_06.00.01"
758 1835 1 10 "section" 9220596 "04-06-2015_06.00.08"
731 1768 1 10 "section" 9220597 "04-06-2015_06.00.15"
764 1859 1 8 "section" 9220595 "04-06-2015_12.00.01"
759 1839 1 10 "section" 9220596 "04-06-2015_12.01.15"
732 1770 1 10 "section" 9220597 "04-06-2015_12.01.44"
763 1852 1 8 "section" 9220595 "04-06-2015_18.00.01"
759 1839 1 10 "section" 9220596 "04-06-2015_18.02.26"
735 1774 1 10 "section" 9220597 "04-06-2015_18.03.47"
766 1858 1 8 "section" 9220595 "04-07-2015_00.00.01"
761 1847 1 10 "section" 9220596 "04-07-2015_00.00.20"
737 1780 1 10 "section" 9220597 "04-07-2015_00.00.47"
766 1858 1 8 "section" 9220595 "04-07-2015_06.00.06"
761 1847 1 10 "section" 9220596 "04-07-2015_06.00.16"
736 1778 1 10 "section" 9220597 "04-07-2015_06.00.22"
763 1852 1 8 "section" 9220595 "04-07-2015_12.00.01"
758 1833 1 10 "section" 9220596 "04-07-2015_12.00.25"
733 1769 1 10 "section" 9220597 "04-07-2015_12.00.39"
762 1846 1 8 "section" 9220595 "04-07-2015_18.00.01"
760 1840 1 10 "section" 9220596 "04-07-2015_18.00.28"
738 1785 1 10 "section" 9220597 "04-07-2015_18.00.53"
763 1849 1 8 "section" 9220595 "04-08-2015_00.00.01"
760 1842 1 10 "section" 9220596 "04-08-2015_00.00.36"
739 1787 1 10 "section" 9220597 "04-08-2015_00.00.50"
763 1849 1 8 "section" 9220595 "04-08-2015_06.00.01"
760 1842 1 10 "section" 9220596 "04-08-2015_06.00.09"
740 1789 1 10 "section" 9220597 "04-08-2015_06.00.16"
764 1849 1 8 "section" 9220595 "04-08-2015_12.00.01"
